"theta"	"prop_random"	"iteration"	"mu"	"tau"	"I2"	"mu_2"	"tau_2"	"I2_2"
6.5	0	94	-2.60208521396521e-18	0	0	0	0	0
6.5	0	95	1.88651178012478e-17	0	0	0	0	0
6.5	0	96	5.52943107967607e-17	0	0	0	0	0
6.5	0	97	-3.12250225675825e-17	0	0	0	0	0
6.5	0	98	-4.64038529823796e-17	0	0	0	0	0
6.5	0	99	4.98732999343332e-18	0	0	0	0	0
6.5	0	100	2.16840434497101e-19	0	0	0	0	0
6.7	0	1	1.14925430283463e-17	0	0	0	0	0
6.7	0	2	-6.76542155630955e-17	0	0	0	0	0
6.7	0	3	-1.38777878078145e-17	0	0	0	0	0
6.7	0	4	-2.38524477946811e-18	0	0	0	0	0
6.7	0	5	-5.20417042793042e-18	0	0	0	0	0
6.7	0	6	-4.55364912443912e-17	0	0	0	0	0
6.7	0	7	2.72134745293862e-17	0	0	0	0	0
6.7	0	8	1.64798730217797e-17	0	0	0	0	0
6.7	0	9	1.77809156287623e-17	0	0	0	0	0
6.7	0	10	-1.65882932390282e-17	0	0	0	0	0
6.7	0	11	1.01915004213637e-17	0	0	0	0	0
6.7	0	12	6.89552581700781e-17	0	0	0	0	0
6.7	0	13	1.69135538907739e-17	0	0	0	0	0
6.7	0	14	3.08997619158369e-17	0	0	0	0	0
6.7	0	15	-4.46691295064028e-17	0	0	0	0	0
6.7	0	16	1.04625509644851e-17	0	0	0	0	0
6.7	0	17	-2.60208521396521e-18	0	0	0	0	0
6.7	0	18	-3.24176449573166e-17	0	0	0	0	0
6.7	0	19	2.0870891820346e-18	0	0	0	0	0
6.7	0	20	2.29850860566927e-17	0	0	0	0	0
6.7	0	21	9.62771529167128e-17	0	0	0	0	0
6.7	0	22	5.96311194867027e-18	0	0	0	0	0
6.7	0	23	5.160802341031e-17	0	0	0	0	0
6.7	0	24	-1.30104260698261e-18	0	0	0	0	0
6.7	0	25	4.33680868994202e-19	0	0	0	0	0
6.7	0	26	7.80625564189563e-18	0	0	0	0	0
6.7	0	27	-8.32667268468867e-17	0	0	0	0	0
6.7	0	28	1.93530087788663e-17	0	0	0	0	0
6.7	0	29	2.71050543121376e-18	0	0	0	0	0
6.7	0	30	-1.64798730217797e-17	0	0	0	0	0
6.7	0	31	5.85469173142172e-17	0	0	0	0	0
6.7	0	32	1.97324795392362e-17	0	0	0	0	0
6.7	0	33	6.08779519850611e-17	0	0	0	0	0
6.7	0	34	-2.08166817117217e-17	0	0	0	0	0
6.7	0	35	7.58941520739853e-18	0	0	0	0	0
6.7	0	36	-3.43692088677905e-17	0	0	0	0	0
6.7	0	37	-1.64798730217797e-17	0	0	0	0	0
6.7	0	38	5.98479599211998e-17	0	0	0	0	0
6.7	0	39	9.75781955236954e-18	0	0	0	0	0
6.7	0	40	7.35089072945172e-17	0	0	0	0	0
6.7	0	41	3.94649590784724e-17	0	0	0	0	0
6.7	0	42	-7.19910242530375e-17	0	0	0	0	0
6.7	0	43	2.51534904016637e-17	0	0	0	0	0
6.7	0	44	6.57026516526216e-17	0	0	0	0	0
6.7	0	45	1.90819582357449e-17	0	0	0	0	0
6.7	0	46	1.50487261540988e-16	0	0	0	0	0
6.7	0	47	-1.12757025938492e-17	0	0	0	0	0
6.7	0	48	3.56702514747731e-17	0	0	0	0	0
6.7	0	49	8.51098705401121e-18	0	0	0	0	0
6.7	0	50	3.46944695195361e-18	0	0	0	0	0
6.7	0	51	-4.2554935270056e-17	0	0	0	0	0
6.7	0	52	-4.16333634234434e-17	0	0	0	0	0
6.7	0	53	-6.83047368665868e-18	0	0	0	0	0
6.7	0	54	3.3285006695305e-17	0	0	0	0	0
6.7	0	55	5.96311194867027e-18	0	0	0	0	0
